# dosya	verdict	etiket	not
# verdict: kullan | ele
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k05.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k06.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k07.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k08.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k10.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k11.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k12.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k13.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k14.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl1-09--IEsmSX019j4/pl1-09--IEsmSX019j4-k15.mp4	kullan	arama-tarama operasyonu, malzeme ele gecirme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k03.mp4	ele	haber spikeri/muhabir kamera karsisi	olay goruntusu degil
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k04.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k05.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k06.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k07.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k09.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k10.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k15.mp4	ele	haber spikeri/muhabir kamera karsisi	olay goruntusu degil
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k17.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k18.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k19.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k20.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k21.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k22.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k23.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k24.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k25.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k27.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k30.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k31.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k32.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k33.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k34.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k35.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k36.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k37.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k38.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k41.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k43.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k44.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k45.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k47.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k48.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k52.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k56.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k57.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k58.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k59.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k61.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k63.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k67.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k68.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k69.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k70.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k71.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k72.mp4	kullan	sehir ici operasyon: devriye, zirhli arac, havadan hedefleme	
clips/askeri-playlist/pl2-02--O2A_KBTxB00/pl2-02--O2A_KBTxB00-k75.mp4	ele	haber spikeri/muhabir kamera karsisi	olay goruntusu degil
clips/askeri-playlist/pl2-08--Rur_BrM8yXU/pl2-08--Rur_BrM8yXU-k08.mp4	kullan	sehir ici zirhli arac hareketi ve patlama	
clips/askeri-playlist/pl2-08--Rur_BrM8yXU/pl2-08--Rur_BrM8yXU-k10.mp4	kullan	sehir ici zirhli arac hareketi ve patlama	
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k02.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k03.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k04.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k05.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k06.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k07.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k08.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k10.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k11.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k12.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k13.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k14.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k18.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k19.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k25.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k26.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k27.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/trafik/factory-accidents---8oYzSP5Vbw/factory-accidents---8oYzSP5Vbw-k28.mp4	kullan	motosiklet kask-kamerasi trafik kazasi	DOKUMANDA YANLIS: fabrika degil trafik
clips/forklift/forklift-cause--V8ZmOgMlyRE/forklift-cause--V8ZmOgMlyRE-k01.mp4	ele	tek olayin oncesi/sonrasi	yanlis bolme - neden-sonuc zinciri kopuyor
clips/forklift/forklift-cause--V8ZmOgMlyRE/forklift-cause--V8ZmOgMlyRE-k03.mp4	ele	tek olayin oncesi/sonrasi	yanlis bolme - neden-sonuc zinciri kopuyor
clips/karisik/multi-event--OlRDWS2E0EY/multi-event--OlRDWS2E0EY-k01.mp4	ele	sabit IP kamera, gercek kesme yok	yanlis bolme - kaynak butun kullanilmali
clips/karisik/multi-event--OlRDWS2E0EY/multi-event--OlRDWS2E0EY-k02.mp4	ele	sabit IP kamera, gercek kesme yok	yanlis bolme - kaynak butun kullanilmali
clips/karisik/multi-event--OlRDWS2E0EY/multi-event--OlRDWS2E0EY-k03.mp4	ele	sabit IP kamera, gercek kesme yok	yanlis bolme - kaynak butun kullanilmali
clips/karisik/multi-event--OlRDWS2E0EY/multi-event--OlRDWS2E0EY-k04.mp4	ele	sabit IP kamera, gercek kesme yok	yanlis bolme - kaynak butun kullanilmali
clips/karisik/multi-event--OlRDWS2E0EY/multi-event--OlRDWS2E0EY-k05.mp4	ele	sabit IP kamera, gercek kesme yok	yanlis bolme - kaynak butun kullanilmali
clips/karisik/multi-event--OlRDWS2E0EY/multi-event--OlRDWS2E0EY-k06.mp4	ele	sabit IP kamera, gercek kesme yok	yanlis bolme - kaynak butun kullanilmali
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k01.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k02.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k03.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k07.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k09.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k10.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k11.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k12.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k14.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k15.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k19.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
clips/sentetik/synthetic-bodycam--KVkPToQGVAQ/synthetic-bodycam--KVkPToQGVAQ-k20.mp4	kullan	Bodycam oyunu, birinci sahis ic/dis mekan	sentetik
